Product Name,Company,Export Country,Date,Units Sold,unit_price,Profit per unit,Export Value,Destination Port,Transportation Mode
Cashew,Nigeria Agro Export Company,Denmark,11/29/2020,987,38561.5,9018.41,38060200.5,Lagos,Sea
Ginger,Agriplus Nigeria Limited,Netherlands,1/21/2022,536,10387.59,9458.22,5567748.24,Lagos,Sea
Cocoa,Greenfield Agro Exporters Nigeria Limited,Netherlands,10/12/2023,997,32753.28,8951.58,32655020.16,Calabar,Sea
Rubber,Prime Agro Exports Nigeria Limited,Sweden,3/26/2023,408,39571.27,5584.52,16145078.16,Lagos,Sea
Rubber,Golden Farms Nigeria Limited,Belgium,9/30/2020,227,14985.53,2169.04,3401715.31,Lagos,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Germany,11/25/2022,273,29358.38,5452.34,8014837.74,Warri,Sea
Cashew,Greenfield Agro Exporters Nigeria Limited,Austria,1/9/2023,494,30668.78,5725.02,15150377.32,Lagos,Sea
Palm Oil,Farmgate Nigeria Limited,Italy,10/10/2021,537,48105.59,5191.38,25832701.83,Lagos,Sea
Cashew,Nigerian Export Promotion Council (NEPC),Italy,12/28/2021,360,25462.65,9477.39,9166554,Lagos,Sea
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Belgium,7/20/2020,698,36248.77,3758.47,25301641.46,Lagos,Sea
Palm Oil,Prime Agro Exports Nigeria Limited,Sweden,1/8/2023,988,28860.1,3599.16,28513778.8,Port Harcourt,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Denmark,4/24/2020,482,34497.66,2071.13,16627872.12,Port Harcourt,Sea
Sesame,Agro Allied Exporters Nigeria Limited,Austria,7/10/2023,933,21358.84,5191.57,19927797.72,Lagos,Sea
Cashew,Agro Export Nigeria Ltd,France,5/9/2023,409,48643.45,3745.48,19895171.05,Lagos,Sea
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Sweden,9/11/2020,187,26876.43,7122.88,5025892.41,Port Harcourt,Sea
Cocoa,Agriplus Nigeria Limited,Spain,7/2/2022,640,37592.2,7882.03,24059008,Lagos,Sea
Ginger,Agro Allied Exporters Nigeria Limited,Spain,4/22/2021,985,22041.82,9336.12,21711192.7,Port Harcourt,Sea
Cocoa,Nigeria Agro Export Company,France,3/17/2022,746,11537.24,4261.71,8606781.04,Calabar,Sea
Cassava,Golden Farms Nigeria Limited,Netherlands,8/6/2021,184,11548.45,4562.51,2124914.8,Port Harcourt,Sea
Palm Oil,Nigerian Export Promotion Council (NEPC),Italy,2/12/2023,610,39943.95,7608.7,24365809.5,Lagos,Sea
Rubber,Nigeria Agro Export Company,Spain,4/30/2020,945,20163.08,5019.62,19054110.6,Lagos,Sea
Cocoa,Farmgate Nigeria Limited,Sweden,3/23/2021,864,40976.45,3472.61,35403652.8,Lagos,Sea
Rubber,Agro Allied Exporters Nigeria Limited,Italy,11/8/2021,346,45825.21,2333.75,15855522.66,Warri,Sea
Plantain,Golden Farms Nigeria Limited,Italy,8/16/2020,617,11446.76,6752.01,7062650.92,Calabar,Sea
Cashew,Agro Export Nigeria Ltd,Spain,7/3/2020,511,28130.25,9295.18,14374557.75,Lagos,Sea
Cassava,Prime Agro Exports Nigeria Limited,Belgium,8/29/2021,493,26013.72,5430.98,12824763.96,Port Harcourt,Sea
Ginger,Agro Export Nigeria Ltd,Germany,2/7/2021,554,40655.79,3828.59,22523307.66,Port Harcourt,Sea
Sesame,Nigeria Agro Export Company,France,5/24/2020,594,47688.67,9913.49,28327069.98,Lagos,Sea
Ginger,Farmgate Nigeria Limited,Netherlands,1/29/2021,307,20303.59,7637.18,6233202.13,Lagos,Sea
Cashew,Agriplus Nigeria Limited,Switzerland,6/17/2021,456,21633.6,4135.44,9864921.6,Calabar,Sea
Plantain,Nigeria Agro Export Company,Spain,12/25/2020,363,21256.72,4413.29,7716189.36,Lagos,Sea
Cocoa,Nigeria Agro Export Company,Spain,8/21/2022,337,12898.06,2443.4,4346646.22,Lagos,Sea
Cashew,Greenfield Agro Exporters Nigeria Limited,Germany,4/8/2022,253,10966.93,2635.2,2774633.29,Port Harcourt,Sea
Plantain,Prime Agro Exports Nigeria Limited,Sweden,8/29/2020,631,30503.36,9796.94,19247620.16,Lagos,Sea
Palm Oil,Agriplus Nigeria Limited,Austria,8/30/2023,227,18867.01,9051.29,4282811.27,Lagos,Sea
Cashew,Nigeria Agro Export Company,Italy,5/29/2021,494,29181.06,2446.06,14415443.64,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Italy,5/12/2023,911,24589.63,5784.62,22401152.93,Calabar,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Sweden,2/18/2023,172,19594.66,9712,3370281.52,Warri,Sea
Ginger,Agro Export Nigeria Ltd,Austria,6/9/2021,651,10926.4,2904.18,7113086.4,Warri,Sea
Cashew,Farmgate Nigeria Limited,Austria,4/21/2021,238,28152.42,8234.85,6700275.96,Lagos,Sea
Cashew,Nigeria Agro Export Company,Italy,5/25/2021,112,37672.07,5265.33,4219271.84,Lagos,Sea
Cocoa,Prime Agro Exports Nigeria Limited,Belgium,8/31/2020,118,22796.67,4784.42,2690007.06,Lagos,Sea
Ginger,Nigeria Agro Export Company,Austria,12/9/2022,115,37857.65,2928.51,4353629.75,Port Harcourt,Sea
Plantain,Nigerian Export Promotion Council (NEPC),Germany,10/8/2021,999,20493.76,8990.87,20473266.24,Warri,Sea
Rubber,Nigeria Agro Export Company,Germany,1/14/2020,189,32429.66,5579.11,6129205.74,Lagos,Sea
Ginger,Farmgate Nigeria Limited,Spain,6/28/2020,371,15691.82,6331.62,5821665.22,Lagos,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Spain,7/30/2021,367,41045.83,2057.84,15063819.61,Port Harcourt,Sea
Sesame,Farmgate Nigeria Limited,Switzerland,9/2/2021,284,34203.29,5562.73,9713734.36,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Switzerland,8/16/2022,484,19067.8,3327.57,9228815.2,Calabar,Sea
Ginger,Agro Export Nigeria Ltd,Denmark,4/2/2023,671,47059.63,2744.68,31577011.73,Port Harcourt,Sea
Rubber,Golden Farms Nigeria Limited,Belgium,11/25/2021,671,23316.71,3376.13,15645512.41,Lagos,Sea
Cashew,Nigeria Agro Export Company,Italy,9/5/2020,604,26272.25,3836.47,15868439,Lagos,Sea
Palm Oil,Solid Agro Nigeria Limited,Netherlands,8/4/2020,390,42865.76,8235.34,16717646.4,Lagos,Sea
Cashew,Nigerian Export Promotion Council (NEPC),Switzerland,5/30/2020,444,25730.68,5539.83,11424421.92,Lagos,Sea
Sesame,Agriplus Nigeria Limited,Spain,11/25/2023,667,20963.97,8605.95,13982967.99,Calabar,Sea
Rubber,Agriplus Nigeria Limited,Italy,7/13/2022,272,13913.4,8925.23,3784444.8,Lagos,Sea
Cocoa,Farmgate Nigeria Limited,Spain,3/23/2022,340,26117.99,2018.73,8880116.6,Lagos,Sea
Ginger,Agro Allied Exporters Nigeria Limited,Denmark,9/2/2022,359,39185.03,5876.48,14067425.77,Warri,Sea
Cassava,Agro Export Nigeria Ltd,Italy,5/13/2020,895,44627.31,6484.53,39941442.45,Calabar,Sea
Rubber,Agro Allied Exporters Nigeria Limited,Netherlands,8/26/2022,805,18006.64,5923.04,14495345.2,Port Harcourt,Sea
Cassava,Prime Agro Exports Nigeria Limited,Switzerland,9/10/2020,711,33178.93,7017.84,23590219.23,Lagos,Sea
Rubber,Farmgate Nigeria Limited,Netherlands,8/4/2023,785,19604,4682.57,15389140,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Germany,4/20/2022,573,25825.9,5873.67,14798240.7,Lagos,Sea
Ginger,Prime Agro Exports Nigeria Limited,Austria,4/17/2022,329,37602.34,5086.95,12371169.86,Lagos,Sea
Rubber,Greenfield Agro Exporters Nigeria Limited,Germany,1/30/2020,547,40318.72,3455.24,22054339.84,Calabar,Sea
Sesame,Nigeria Agro Export Company,Belgium,2/9/2020,346,45875.11,3490.75,15872788.06,Lagos,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Denmark,10/1/2021,815,12663.48,6749.3,10320736.2,Port Harcourt,Sea
Plantain,Golden Farms Nigeria Limited,Belgium,8/9/2022,386,21185.94,4796.95,8177772.84,Lagos,Sea
Sesame,Agriplus Nigeria Limited,Belgium,3/15/2020,558,42069.64,4852.43,23474859.12,Lagos,Sea
Cashew,Greenfield Agro Exporters Nigeria Limited,Spain,7/20/2022,275,18649.39,2111.99,5128582.25,Lagos,Sea
Plantain,Agro Export Nigeria Ltd,Sweden,5/26/2021,359,38635.31,6945.16,13870076.29,Lagos,Sea
Cocoa,Agriplus Nigeria Limited,Sweden,6/7/2023,540,45317.85,7712.76,24471639,Warri,Sea
Cashew,Nigerian Export Promotion Council (NEPC),Denmark,1/24/2023,245,22058.15,9141.05,5404246.75,Port Harcourt,Sea
Plantain,Greenfield Agro Exporters Nigeria Limited,Austria,3/23/2023,151,29521.86,9423.51,4457800.86,Lagos,Sea
Cocoa,Prime Agro Exports Nigeria Limited,Sweden,6/3/2021,157,11352.41,6556.99,1782328.37,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,Italy,3/4/2021,711,30663.26,3202.33,21801577.86,Lagos,Sea
Rubber,Agro Allied Exporters Nigeria Limited,Netherlands,6/13/2020,340,12752.48,2678.21,4335843.2,Lagos,Sea
Cassava,Farmgate Nigeria Limited,Italy,3/9/2023,115,45869.9,7995.95,5275038.5,Lagos,Sea
Cashew,Nigeria Agro Export Company,Belgium,3/31/2020,627,34746.28,9410.62,21785917.56,Lagos,Sea
Plantain,Agro Allied Exporters Nigeria Limited,Switzerland,8/25/2020,844,34836.78,2564.43,29402242.32,Lagos,Sea
Rubber,Golden Farms Nigeria Limited,Denmark,5/2/2023,476,46857.65,3468.63,22304241.4,Lagos,Sea
Cocoa,Greenfield Agro Exporters Nigeria Limited,Sweden,10/1/2022,199,46862.07,7340.8,9325551.93,Calabar,Sea
Cashew,Prime Agro Exports Nigeria Limited,France,12/24/2021,279,13571.23,9897.25,3786373.17,Calabar,Sea
Cocoa,Agriplus Nigeria Limited,Italy,12/14/2020,332,42678.9,2935.51,14169394.8,Lagos,Sea
Cassava,Greenfield Agro Exporters Nigeria Limited,Germany,12/30/2023,769,32821.57,8150.57,25239787.33,Lagos,Sea
Rubber,Nigeria Agro Export Company,Sweden,2/4/2021,413,47019.51,3971.94,19419057.63,Lagos,Sea
Cashew,Greenfield Agro Exporters Nigeria Limited,Switzerland,5/23/2023,221,49351.36,5461.08,10906650.56,Lagos,Sea
Plantain,Farmgate Nigeria Limited,Netherlands,8/26/2022,103,12852.2,8992.5,1323776.6,Lagos,Sea
Palm Oil,Agro Export Nigeria Ltd,Belgium,11/17/2023,936,17721.41,9564.42,16587239.76,Lagos,Sea
Sesame,Nigerian Export Promotion Council (NEPC),France,10/5/2021,762,31063.94,8486.77,23670722.28,Lagos,Sea
Cassava,Nigeria Agro Export Company,France,4/30/2021,377,38436.41,7116.02,14490526.57,Lagos,Sea
Cashew,Solid Agro Nigeria Limited,France,7/6/2020,396,28963.42,9765.76,11469514.32,Calabar,Sea
Sesame,Agro Export Nigeria Ltd,Austria,3/16/2023,810,25588.62,3915.42,20726782.2,Port Harcourt,Sea
Cocoa,Agro Allied Exporters Nigeria Limited,Sweden,6/14/2020,166,33789.42,7069.44,5609043.72,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,Belgium,2/25/2020,613,24452.58,6241.25,14989431.54,Lagos,Sea
Rubber,Solid Agro Nigeria Limited,Sweden,9/4/2020,567,20951.06,4547.67,11879251.02,Lagos,Sea
Plantain,Golden Farms Nigeria Limited,Netherlands,10/3/2021,630,33495.61,4141.31,21102234.3,Lagos,Sea
Cashew,Agro Export Nigeria Ltd,Belgium,2/8/2021,779,41434.9,4902.39,32277787.1,Lagos,Sea
Cocoa,Farmgate Nigeria Limited,Netherlands,10/2/2021,310,27530.43,2895.68,8534433.3,Lagos,Sea
Plantain,Prime Agro Exports Nigeria Limited,Belgium,9/2/2023,755,25170.32,6920.42,19003591.6,Lagos,Sea
Ginger,Greenfield Agro Exporters Nigeria Limited,Denmark,11/2/2021,775,33127.43,2179.18,25673758.25,Port Harcourt,Sea
Plantain,Agro Allied Exporters Nigeria Limited,Spain,6/4/2021,474,10811.43,3362.61,5124617.82,Lagos,Sea
Palm Oil,Agriplus Nigeria Limited,Italy,3/30/2023,147,21580.37,5867.99,3172314.39,Lagos,Sea
Cassava,Prime Agro Exports Nigeria Limited,Sweden,5/2/2020,662,31310.98,6516.4,20727868.76,Lagos,Sea
Cocoa,Agro Export Nigeria Ltd,Belgium,7/29/2023,283,24034.1,8798.82,6801650.3,Lagos,Sea
Palm Oil,Prime Agro Exports Nigeria Limited,Sweden,3/3/2021,676,22251.72,5992.39,15042162.72,Lagos,Sea
Cocoa,Golden Farms Nigeria Limited,Germany,7/18/2023,948,14062.61,7842.17,13331354.28,Warri,Sea
Cassava,Prime Agro Exports Nigeria Limited,Netherlands,8/11/2020,158,24848.97,5426.09,3926137.26,Port Harcourt,Sea
Cassava,Farmgate Nigeria Limited,Germany,3/9/2022,907,17899.88,6976.49,16235191.16,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Italy,8/13/2023,737,19643.3,9374.93,14477112.1,Lagos,Sea
Cassava,Agro Export Nigeria Ltd,France,8/10/2020,736,19997.9,8920.82,14718454.4,Lagos,Sea
Cocoa,Golden Farms Nigeria Limited,Belgium,8/17/2020,167,24405.81,5557.46,4075770.27,Lagos,Sea
Cashew,Prime Agro Exports Nigeria Limited,Austria,5/17/2022,603,25715.79,9586.46,15506621.37,Port Harcourt,Sea
Rubber,Golden Farms Nigeria Limited,Spain,9/25/2023,576,49473.14,6506.39,28496528.64,Lagos,Sea
Rubber,Agro Allied Exporters Nigeria Limited,Italy,7/26/2021,696,40906.92,5413.24,28471216.32,Lagos,Sea
Cassava,Farmgate Nigeria Limited,Belgium,2/21/2020,312,29465.29,8310.14,9193170.48,Lagos,Sea
Cocoa,Prime Agro Exports Nigeria Limited,Austria,1/21/2023,906,32575.54,9617.59,29513439.24,Lagos,Sea
Cashew,Solid Agro Nigeria Limited,Spain,6/1/2023,290,40212.78,6892.54,11661706.2,Port Harcourt,Sea
Palm Oil,Solid Agro Nigeria Limited,Austria,2/18/2021,292,27482.77,3727.66,8024968.84,Lagos,Sea
Sesame,Agro Allied Exporters Nigeria Limited,Austria,7/27/2022,615,29388.41,4431.2,18073872.15,Lagos,Sea
Rubber,Farmgate Nigeria Limited,Switzerland,8/15/2023,893,13305.27,7510.66,11881606.11,Warri,Sea
Cassava,Solid Agro Nigeria Limited,Switzerland,3/26/2021,304,40982.46,9884.64,12458667.84,Lagos,Sea
Sesame,Golden Farms Nigeria Limited,France,8/17/2022,856,38044.13,2728.58,32565775.28,Lagos,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Netherlands,1/30/2020,595,30005.57,7039.46,17853314.15,Lagos,Sea
Cassava,Solid Agro Nigeria Limited,Belgium,6/26/2020,442,18782.89,5559.47,8302037.38,Port Harcourt,Sea
Sesame,Nigeria Agro Export Company,Austria,7/10/2020,223,38450.54,9971.93,8574470.42,Lagos,Sea
Palm Oil,Agro Export Nigeria Ltd,Netherlands,5/20/2020,316,17819.75,9927.8,5631041,Lagos,Sea
Cocoa,Agriplus Nigeria Limited,Germany,4/1/2023,366,37718.55,3056.13,13804989.3,Lagos,Sea
Rubber,Nigerian Export Promotion Council (NEPC),Sweden,2/5/2023,196,39859.2,7877.05,7812403.2,Lagos,Sea
Cocoa,Greenfield Agro Exporters Nigeria Limited,Spain,8/7/2021,232,40443.45,8390.75,9382880.4,Port Harcourt,Sea
Cocoa,Farmgate Nigeria Limited,France,10/29/2020,181,42649.85,4580.52,7719622.85,Lagos,Sea
Cocoa,Agro Export Nigeria Ltd,Sweden,2/3/2020,990,36777.32,8027.19,36409546.8,Lagos,Sea
Cassava,Agro Allied Exporters Nigeria Limited,Italy,4/14/2023,401,29722.65,9701.73,11918782.65,Lagos,Sea
Ginger,Agriplus Nigeria Limited,Spain,7/6/2021,631,13405.98,9333.15,8459173.38,Lagos,Sea
Ginger,Greenfield Agro Exporters Nigeria Limited,Switzerland,4/15/2020,175,15018.73,9030.94,2628277.75,Lagos,Sea
Rubber,Agro Export Nigeria Ltd,Italy,6/9/2022,737,43567.37,9198.56,32109151.69,Warri,Sea
Sesame,Solid Agro Nigeria Limited,Netherlands,7/12/2020,268,41452.96,9960.67,11109393.28,Port Harcourt,Sea
Rubber,Agriplus Nigeria Limited,Denmark,3/25/2023,661,39910.72,6227.46,26380985.92,Calabar,Sea
Sesame,Agro Allied Exporters Nigeria Limited,Switzerland,9/18/2023,907,42974.87,3303.73,38978207.09,Lagos,Sea
Cassava,Agro Allied Exporters Nigeria Limited,France,10/9/2022,738,39223.54,9221.45,28946972.52,Warri,Sea
Cashew,Golden Farms Nigeria Limited,Denmark,1/9/2020,151,15679.05,8708.71,2367536.55,Warri,Sea
Rubber,Agro Export Nigeria Ltd,Netherlands,3/31/2021,804,28787.91,8809.98,23145479.64,Warri,Sea
Cassava,Golden Farms Nigeria Limited,Spain,12/27/2021,881,47757.87,6806.86,42074683.47,Port Harcourt,Sea
Rubber,Nigeria Agro Export Company,Switzerland,2/28/2022,141,44054.32,9201.08,6211659.12,Lagos,Sea
Palm Oil,Agro Export Nigeria Ltd,France,7/31/2021,407,46822.22,6834.45,19056643.54,Calabar,Sea
Sesame,Golden Farms Nigeria Limited,Italy,8/5/2023,864,37353.61,9363.41,32273519.04,Calabar,Sea
Palm Oil,Agro Export Nigeria Ltd,Germany,11/7/2022,184,13442.51,6666.22,2473421.84,Lagos,Sea
Cashew,Agriplus Nigeria Limited,Switzerland,5/25/2020,890,20914.84,7851.32,18614207.6,Lagos,Sea
Palm Oil,Greenfield Agro Exporters Nigeria Limited,Italy,7/18/2020,814,45418.18,2352.81,36970398.52,Lagos,Sea
Ginger,Golden Farms Nigeria Limited,Austria,7/13/2021,999,16092.91,5565.11,16076817.09,Warri,Sea
Palm Oil,Farmgate Nigeria Limited,Belgium,7/4/2023,278,20419.17,5664.55,5676529.26,Warri,Sea
Rubber,Agriplus Nigeria Limited,Switzerland,10/6/2021,267,17307.3,9600.96,4621049.1,Calabar,Sea
Cassava,Golden Farms Nigeria Limited,Austria,7/5/2021,805,40476.83,9454.84,32583848.15,Port Harcourt,Sea
Ginger,Agriplus Nigeria Limited,Spain,12/12/2020,568,39056.87,7655.01,22184302.16,Lagos,Sea
Cocoa,Agro Export Nigeria Ltd,Denmark,5/26/2020,798,43030.42,5718.02,34338275.16,Port Harcourt,Sea
Cassava,Prime Agro Exports Nigeria Limited,Italy,10/14/2020,405,49485.77,8763.98,20041736.85,Warri,Sea
Ginger,Solid Agro Nigeria Limited,France,4/5/2023,347,17266.35,8076.81,5991423.45,Calabar,Sea
Plantain,Agro Allied Exporters Nigeria Limited,France,8/19/2022,346,43082.11,9731.66,14906410.06,Lagos,Sea
Sesame,Nigerian Export Promotion Council (NEPC),Belgium,8/17/2023,478,15759.34,9407.02,7532964.52,Lagos,Sea
Sesame,Golden Farms Nigeria Limited,Spain,1/15/2023,406,39603.82,5227.59,16079150.92,Lagos,Sea
Ginger,Farmgate Nigeria Limited,Germany,2/2/2022,306,28489.69,5983.88,8717845.14,Lagos,Sea
Rubber,Farmgate Nigeria Limited,Spain,6/11/2020,673,20247.87,6035.27,13626816.51,Warri,Sea
Palm Oil,Agro Export Nigeria Ltd,Spain,10/7/2021,795,39866.44,8970.09,31693819.8,Port Harcourt,Sea
Cashew,Agro Export Nigeria Ltd,Netherlands,8/17/2021,293,35250.96,4432.89,10328531.28,Lagos,Sea
Sesame,Golden Farms Nigeria Limited,Denmark,2/19/2022,679,35641.08,6425.87,24200293.32,Warri,Sea
Ginger,Nigerian Export Promotion Council (NEPC),Belgium,2/21/2022,331,27941.06,2011.49,9248490.86,Port Harcourt,Sea
Cassava,Golden Farms Nigeria Limited,Germany,5/2/2022,928,22893.46,4425.03,21245130.88,Lagos,Sea
Cashew,Prime Agro Exports Nigeria Limited,Switzerland,11/21/2020,706,35409.89,6520,24999382.34,Port Harcourt,Sea
Rubber,Solid Agro Nigeria Limited,Belgium,2/11/2022,877,36520.61,6211.19,32028574.97,Lagos,Sea
Rubber,Solid Agro Nigeria Limited,Denmark,2/9/2021,957,27374.69,9259.27,26197578.33,Calabar,Sea
Cassava,Golden Farms Nigeria Limited,Belgium,1/20/2021,766,13513.38,4155,10351249.08,Lagos,Sea
Cashew,Nigeria Agro Export Company,Sweden,1/12/2022,223,41689.96,7172.86,9296861.08,Lagos,Sea
Cashew,Golden Farms Nigeria Limited,Germany,2/8/2023,998,30576.8,2142.19,30515646.4,Lagos,Sea
Palm Oil,Solid Agro Nigeria Limited,Austria,10/24/2022,301,15004.45,9281.36,4516339.45,Lagos,Sea
Sesame,Agro Export Nigeria Ltd,Sweden,3/3/2022,757,33275.53,8144.09,25189576.21,Lagos,Sea
Cassava,Greenfield Agro Exporters Nigeria Limited,Germany,3/16/2022,967,17287.05,9822.65,16716577.35,Lagos,Sea
Cassava,Solid Agro Nigeria Limited,Germany,2/13/2020,531,16488.41,7791.27,8755345.71,Warri,Sea
Cashew,Agro Allied Exporters Nigeria Limited,Sweden,3/10/2022,228,27992.79,4627.45,6382356.12,Calabar,Sea
Sesame,Agro Export Nigeria Ltd,Italy,12/11/2021,846,35637.29,4083.88,30149147.34,Port Harcourt,Sea
Palm Oil,Agro Allied Exporters Nigeria Limited,Germany,5/25/2020,246,28229.09,2527.76,6944356.14,Lagos,Sea
Cassava,Solid Agro Nigeria Limited,Netherlands,3/4/2022,500,48937.95,2835.78,24468975,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Italy,9/12/2023,662,39462.23,2455.18,26123996.26,Port Harcourt,Sea
Cocoa,Farmgate Nigeria Limited,Germany,4/14/2023,166,21132.81,7252.84,3508046.46,Lagos,Sea
Sesame,Prime Agro Exports Nigeria Limited,Sweden,3/14/2022,113,44959.45,6092.14,5080417.85,Lagos,Sea
Rubber,Nigerian Export Promotion Council (NEPC),Switzerland,12/28/2023,763,44083.97,2597.65,33636069.11,Warri,Sea
Cashew,Agro Export Nigeria Ltd,Sweden,7/18/2021,319,26580.33,9531.2,8479125.27,Lagos,Sea
Plantain,Nigeria Agro Export Company,Netherlands,11/14/2022,167,22070.13,2572.19,3685711.71,Calabar,Sea
Cassava,Nigeria Agro Export Company,Austria,3/23/2022,554,12910.73,6115.26,7152544.42,Lagos,Sea
Plantain,Agriplus Nigeria Limited,Switzerland,3/27/2023,684,42655.08,4144.4,29176074.72,Lagos,Sea
Sesame,Agriplus Nigeria Limited,Spain,3/19/2020,619,40038.51,7040.64,24783837.69,Port Harcourt,Sea
Cocoa,Agriplus Nigeria Limited,Austria,2/15/2021,520,25128.16,3894.72,13066643.2,Lagos,Sea
Ginger,Farmgate Nigeria Limited,Switzerland,5/4/2022,899,27430.43,9404.06,24659956.57,Calabar,Sea
Cashew,Agro Export Nigeria Ltd,Belgium,4/24/2022,179,11948.5,8565.61,2138781.5,Lagos,Sea
Cashew,Agro Export Nigeria Ltd,Austria,9/11/2020,481,28731.34,7792.24,13819774.54,Port Harcourt,Sea
Cashew,Golden Farms Nigeria Limited,Italy,3/13/2020,592,10021.32,7255.38,5932621.44,Lagos,Sea
Cocoa,Farmgate Nigeria Limited,Netherlands,4/29/2022,339,45625.14,4973.87,15466922.46,Lagos,Sea
Ginger,Agro Export Nigeria Ltd,Italy,10/15/2020,686,20272.96,8833.63,13907250.56,Lagos,Sea
